Degrees and Certificates Awarded by Curriculum Area,
DimYear,InstTypeList,InstList,MajorTypeDesc,LevelGroupDesc,CIPGroupDesc,CIPDesc,Count,
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","01 - Agriculture, Agriculture Operations, and Related Sciences","01010200 - Agribusiness/Agricultural Business Operations","28",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","01 - Agriculture, Agriculture Operations, and Related Sciences","01030800 - Agroecology and Sustainable Agriculture","1",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","01 - Agriculture, Agriculture Operations, and Related Sciences","01050700 - Equestrian/Equine Studies","6",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","01 - Agriculture, Agriculture Operations, and Related Sciences","01090100 - Animal Sciences, General","34",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","01 - Agriculture, Agriculture Operations, and Related Sciences","01830100 - Veterinary/Animal Health Technology/Technician and Veterinary Assistant","4",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","03 - Natural Resources and Conservation","03010400 - Environmental Science","5",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","03 - Natural Resources and Conservation","03060100 - Wildlife, Fish and Wildlands Science and Management","18",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","09 - Communication, Journalism, Related Programs","09010000 - Communication, General","12",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","09 - Communication, Journalism, Related Programs","09070200 - Digital Communication and Media/Multimedia","2",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","11 - Computer and Information Sciences and Support Services","11010100 - Computer and Information Sciences, General","59",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","11 - Computer and Information Sciences and Support Services","11040100 - Information Science/Studies","25",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","13 - Education","13010100 - Education, General","84",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","13 - Education","13100100 - Special Education and Teaching, General","1",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","14 - Engineering","14100100 - Electrical and Electronics Engineering","13",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","14 - Engineering","14330100 - Construction Engineering","14",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","14 - Engineering","14350100 - Industrial Engineering","8",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","15 - Engineering Technologies and Engineering-Related Fields","15061200 - Industrial Technology/Technician","6",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","16 - Foreign Languages, Literatures and Linguistics","16090500 - Spanish Language and Literature","2",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","22 - Legal Professions and Studies","22030200 - Legal Assistant/Paralegal","10",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","23 - English Language and Literature/Letters","23010100 - English Language and Literature, General","20",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","24 - Liberal Arts and Sciences, General Studies and Humanities","24010100 - Liberal Arts and Sciences/Liberal Studies","22",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","24 - Liberal Arts and Sciences, General Studies and Humanities","24010200 - General Studies","138",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","26 - Biological and Biomedical Sciences","26010100 - Biology/Biological Sciences, General","32",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","27 - Mathematics and Statistics","27010100 - Mathematics, General","10",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","30 - Multi/Interdisciplinary Studies","30710200 - Business Analytics","24",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","30 - Multi/Interdisciplinary Studies","30999901 - Interdisciplinary Studies, General","45",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","30 - Multi/Interdisciplinary Studies","30999940 - Applied Arts & Sciences","317",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","31 - Parks, Recreation, Leisure and Fitness Studies","31050400 - Sport and Fitness Administration/Management","28",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","31 - Parks, Recreation, Leisure and Fitness Studies","31050500 - Kinesiology and Exercise Science","92",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","40 - Physical Sciences","40050100 - Chemistry, General","10",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","40 - Physical Sciences","40080100 - Physics, General","8",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","42 - Psychology","42010100 - Psychology, General","80",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43010400 - Criminal Justice/Safety Studies","211",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","44 - Public Administration and Social Service Professions","44000000 - Human Services, General","9",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","44 - Public Administration and Social Service Professions","44070100 - Social Work","41",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","45 - Social Sciences","45100100 - Political Science and Government, General","9",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","45 - Social Sciences","45110100 - Sociology","8",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","50 - Visual and Performing Arts","50040900 - Graphic Design","13",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","50 - Visual and Performing Arts","50050100 - Drama and Dramatics/Theatre Arts, General","5",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","50 - Visual and Performing Arts","50060500 - Photography","1",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","50 - Visual and Performing Arts","50070200 - Fine/Studio Arts, General","14",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","50 - Visual and Performing Arts","50090100 - Music, General","47",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","51 - Health Professions and Related Programs","51380100 - Registered Nursing/Registered Nurse","31",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","52 - Business, Management, Marketing and Related Support Services","52010100 - Business/Commerce, General","20",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","52 - Business, Management, Marketing and Related Support Services","52020100 - Business Administration and Management, General","113",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","52 - Business, Management, Marketing and Related Support Services","52030100 - Accounting","42",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","52 - Business, Management, Marketing and Related Support Services","52080100 - Finance, General","27",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","52 - Business, Management, Marketing and Related Support Services","52140100 - Marketing/Marketing Management, General","28",
"2023","Public Universities","East Texas A&M University","Academic","Bachelor's","54 - History","54010100 - History, General","15",
"2023","Public Universities","East Texas A&M University","Academic","Doctoral Research Scholarship","13 - Education","13040100 - Educational Leadership and Administration, General","22",
"2023","Public Universities","East Texas A&M University","Academic","Doctoral Research Scholarship","13 - Education","13040600 - Higher Education/Higher Education Administration","9",
"2023","Public Universities","East Texas A&M University","Academic","Doctoral Research Scholarship","13 - Education","13110100 - Counselor Education/School Counseling and Guidance Services","10",
"2023","Public Universities","East Texas A&M University","Academic","Doctoral Research Scholarship","13 - Education","13120200 - Elementary Education and Teaching","8",
"2023","Public Universities","East Texas A&M University","Academic","Doctoral Research Scholarship","23 - English Language and Literature/Letters","23010100 - English Language and Literature, General","3",
"2023","Public Universities","East Texas A&M University","Academic","Doctoral Research Scholarship","42 - Psychology","42280600 - Educational Psychology","5",
"2023","Public Universities","East Texas A&M University","Academic","Graduate Level Certificate","23 - English Language and Literature/Letters","23010100 - English Language and Literature, General","13",
"2023","Public Universities","East Texas A&M University","Academic","Graduate Level Certificate","54 - History","54010100 - History, General","2",
"2023","Public Universities","East Texas A&M University","Academic","Master's","01 - Agriculture, Agriculture Operations, and Related Sciences","01000000 - Agriculture, General","26",
"2023","Public Universities","East Texas A&M University","Academic","Master's","11 - Computer and Information Sciences and Support Services","11010100 - Computer and Information Sciences, General","154",
"2023","Public Universities","East Texas A&M University","Academic","Master's","13 - Education","13030100 - Curriculum and Instruction","84",
"2023","Public Universities","East Texas A&M University","Academic","Master's","13 - Education","13040100 - Educational Leadership and Administration, General","96",
"2023","Public Universities","East Texas A&M University","Academic","Master's","13 - Education","13040600 - Higher Education/Higher Education Administration","55",
"2023","Public Universities","East Texas A&M University","Academic","Master's","13 - Education","13050100 - Educational/Instructional Technology","19",
"2023","Public Universities","East Texas A&M University","Academic","Master's","13 - Education","13100100 - Special Education and Teaching, General","12",
"2023","Public Universities","East Texas A&M University","Academic","Master's","13 - Education","13110100 - Counselor Education/School Counseling and Guidance Services","72",
"2023","Public Universities","East Texas A&M University","Academic","Master's","13 - Education","13120500 - Secondary Education and Teaching","9",
"2023","Public Universities","East Texas A&M University","Academic","Master's","13 - Education","13121000 - Early Childhood Education and Teaching","18",
"2023","Public Universities","East Texas A&M University","Academic","Master's","13 - Education","13131500 - Reading Teacher Education","13",
"2023","Public Universities","East Texas A&M University","Academic","Master's","15 - Engineering Technologies and Engineering-Related Fields","15061200 - Industrial Technology/Technician","4",
"2023","Public Universities","East Texas A&M University","Academic","Master's","16 - Foreign Languages, Literatures and Linguistics","16010500 - Applied Linguistics","21",
"2023","Public Universities","East Texas A&M University","Academic","Master's","16 - Foreign Languages, Literatures and Linguistics","16090500 - Spanish Language and Literature","2",
"2023","Public Universities","East Texas A&M University","Academic","Master's","23 - English Language and Literature/Letters","23010100 - English Language and Literature, General","19",
"2023","Public Universities","East Texas A&M University","Academic","Master's","25 - Library Science","25010100 - Library and Information Science","32",
"2023","Public Universities","East Texas A&M University","Academic","Master's","26 - Biological and Biomedical Sciences","26010100 - Biology/Biological Sciences, General","32",
"2023","Public Universities","East Texas A&M University","Academic","Master's","27 - Mathematics and Statistics","27010100 - Mathematics, General","12",
"2023","Public Universities","East Texas A&M University","Academic","Master's","30 - Multi/Interdisciplinary Studies","30710200 - Business Analytics","186",
"2023","Public Universities","East Texas A&M University","Academic","Master's","31 - Parks, Recreation, Leisure and Fitness Studies","31050500 - Kinesiology and Exercise Science","44",
"2023","Public Universities","East Texas A&M University","Academic","Master's","40 - Physical Sciences","40050100 - Chemistry, General","8",
"2023","Public Universities","East Texas A&M University","Academic","Master's","40 - Physical Sciences","40080100 - Physics, General","28",
"2023","Public Universities","East Texas A&M University","Academic","Master's","42 - Psychology","42010100 - Psychology, General","15",
"2023","Public Universities","East Texas A&M University","Academic","Master's","42 - Psychology","42280500 - School Psychology","9",
"2023","Public Universities","East Texas A&M University","Academic","Master's","44 - Public Administration and Social Service Professions","44070100 - Social Work","67",
"2023","Public Universities","East Texas A&M University","Academic","Master's","45 - Social Sciences","45040100 - Criminology","23",
"2023","Public Universities","East Texas A&M University","Academic","Master's","45 - Social Sciences","45110100 - Sociology","12",
"2023","Public Universities","East Texas A&M University","Academic","Master's","50 - Visual and Performing Arts","50050100 - Drama and Dramatics/Theatre Arts, General","12",
"2023","Public Universities","East Texas A&M University","Academic","Master's","50 - Visual and Performing Arts","50070200 - Fine/Studio Arts, General","11",
"2023","Public Universities","East Texas A&M University","Academic","Master's","50 - Visual and Performing Arts","50090100 - Music, General","8",
"2023","Public Universities","East Texas A&M University","Academic","Master's","51 - Health Professions and Related Programs","51070100 - Health/Health Care Administration/Management","6",
"2023","Public Universities","East Texas A&M University","Academic","Master's","51 - Health Professions and Related Programs","51220100 - Public Health, General","7",
"2023","Public Universities","East Texas A&M University","Academic","Master's","51 - Health Professions and Related Programs","51380500 - Family Practice Nurse/Nursing","3",
"2023","Public Universities","East Texas A&M University","Academic","Master's","52 - Business, Management, Marketing and Related Support Services","52020100 - Business Administration and Management, General","222",
"2023","Public Universities","East Texas A&M University","Academic","Master's","52 - Business, Management, Marketing and Related Support Services","52030100 - Accounting","80",
"2023","Public Universities","East Texas A&M University","Academic","Master's","52 - Business, Management, Marketing and Related Support Services","52030300 - Auditing","1",
"2023","Public Universities","East Texas A&M University","Academic","Master's","52 - Business, Management, Marketing and Related Support Services","52080100 - Finance, General","20",
"2023","Public Universities","East Texas A&M University","Academic","Master's","52 - Business, Management, Marketing and Related Support Services","52140100 - Marketing/Marketing Management, General","21",
"2023","Public Universities","East Texas A&M University","Academic","Master's","54 - History","54010100 - History, General","5",
"2023","Public Universities","Lamar University","Academic","Baccalaureate Level Certificate","14 - Engineering","14100100 - Electrical and Electronics Engineering","5",
"2023","Public Universities","Lamar University","Academic","Baccalaureate Level Certificate","15 - Engineering Technologies and Engineering-Related Fields","15061200 - Industrial Technology/Technician","13",
"2023","Public Universities","Lamar University","Academic","Bachelor's","03 - Natural Resources and Conservation","03010400 - Environmental Science","3",
"2023","Public Universities","Lamar University","Academic","Bachelor's","09 - Communication, Journalism, Related Programs","09010000 - Communication, General","57",
"2023","Public Universities","Lamar University","Academic","Bachelor's","09 - Communication, Journalism, Related Programs","09090300 - Advertising","2",
"2023","Public Universities","Lamar University","Academic","Bachelor's","11 - Computer and Information Sciences and Support Services","11010100 - Computer and Information Sciences, General","35",
"2023","Public Universities","Lamar University","Academic","Bachelor's","11 - Computer and Information Sciences and Support Services","11020200 - Computer Programming, Special Applications","1",
"2023","Public Universities","Lamar University","Academic","Bachelor's","14 - Engineering","14070100 - Chemical Engineering","51",
"2023","Public Universities","Lamar University","Academic","Bachelor's","14 - Engineering","14080100 - Civil Engineering, General","21",
"2023","Public Universities","Lamar University","Academic","Bachelor's","14 - Engineering","14100100 - Electrical and Electronics Engineering","24",
"2023","Public Universities","Lamar University","Academic","Bachelor's","14 - Engineering","14190100 - Mechanical Engineering","51",
"2023","Public Universities","Lamar University","Academic","Bachelor's","14 - Engineering","14330100 - Construction Engineering","13",
"2023","Public Universities","Lamar University","Academic","Bachelor's","14 - Engineering","14350100 - Industrial Engineering","25",
"2023","Public Universities","Lamar University","Academic","Bachelor's","15 - Engineering Technologies and Engineering-Related Fields","15061200 - Industrial Technology/Technician","39",
"2023","Public Universities","Lamar University","Academic","Bachelor's","16 - Foreign Languages, Literatures and Linguistics","16010100 - Foreign Languages and Literatures, General","2",
"2023","Public Universities","Lamar University","Academic","Bachelor's","16 - Foreign Languages, Literatures and Linguistics","16160100 - American Sign Language (ASL)","21",
"2023","Public Universities","Lamar University","Academic","Bachelor's","19 - Family and Consumer Sciences/Human Sciences","19050400 - Human Nutrition","11",
"2023","Public Universities","Lamar University","Academic","Bachelor's","19 - Family and Consumer Sciences/Human Sciences","19050500 - Foodservice Systems Administration/Management","4",
"2023","Public Universities","Lamar University","Academic","Bachelor's","19 - Family and Consumer Sciences/Human Sciences","19070100 - Human Development and Family Studies, General","14",
"2023","Public Universities","Lamar University","Academic","Bachelor's","19 - Family and Consumer Sciences/Human Sciences","19090100 - Apparel and Textiles, General","4",
"2023","Public Universities","Lamar University","Academic","Bachelor's","23 - English Language and Literature/Letters","23010100 - English Language and Literature, General","12",
"2023","Public Universities","Lamar University","Academic","Bachelor's","24 - Liberal Arts and Sciences, General Studies and Humanities","24010200 - General Studies","26",
"2023","Public Universities","Lamar University","Academic","Bachelor's","26 - Biological and Biomedical Sciences","26010100 - Biology/Biological Sciences, General","39",
"2023","Public Universities","Lamar University","Academic","Bachelor's","26 - Biological and Biomedical Sciences","26020200 - Biochemistry","2",
"2023","Public Universities","Lamar University","Academic","Bachelor's","27 - Mathematics and Statistics","27010100 - Mathematics, General","17",
"2023","Public Universities","Lamar University","Academic","Bachelor's","30 - Multi/Interdisciplinary Studies","30999901 - Interdisciplinary Studies, General","36",
"2023","Public Universities","Lamar University","Academic","Bachelor's","30 - Multi/Interdisciplinary Studies","30999931 - University Studies","241",
"2023","Public Universities","Lamar University","Academic","Bachelor's","30 - Multi/Interdisciplinary Studies","30999940 - Applied Arts & Sciences","16",
"2023","Public Universities","Lamar University","Academic","Bachelor's","31 - Parks, Recreation, Leisure and Fitness Studies","31050400 - Sport and Fitness Administration/Management","33",
"2023","Public Universities","Lamar University","Academic","Bachelor's","31 - Parks, Recreation, Leisure and Fitness Studies","31050500 - Kinesiology and Exercise Science","10",
"2023","Public Universities","Lamar University","Academic","Bachelor's","40 - Physical Sciences","40050100 - Chemistry, General","10",
"2023","Public Universities","Lamar University","Academic","Bachelor's","40 - Physical Sciences","40060100 - Geology/Earth Science, General","2",
"2023","Public Universities","Lamar University","Academic","Bachelor's","42 - Psychology","42010100 - Psychology, General","35",
"2023","Public Universities","Lamar University","Academic","Bachelor's","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43010400 - Criminal Justice/Safety Studies","94",
"2023","Public Universities","Lamar University","Academic","Bachelor's","44 - Public Administration and Social Service Professions","44070100 - Social Work","34",
