Degrees and Certificates Awarded by Curriculum Area,
DimYear,InstTypeList,InstList,MajorTypeDesc,LevelGroupDesc,CIPGroupDesc,CIPDesc,Count,
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","46 - Construction Trades","46030300 - Lineworker","10",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","46 - Construction Trades","46050300 - Plumbing Technology/Plumber","7",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","47 - Mechanic and Repair Technologies/Technicians","47060300 - Autobody/Collision and Repair Technology/Technician","19",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","47 - Mechanic and Repair Technologies/Technicians","47060500 - Diesel Mechanics Technology/Technician","1",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","47 - Mechanic and Repair Technologies/Technicians","47060900 - Avionics Maintenance Technology/Technician","4",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","48 - Precision Production","48050800 - Welding Technology/Welder","64",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","51 - Health Professions and Related Programs","51060100 - Dental Assisting/Assistant","57",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Technical","Certificate","51 - Health Professions and Related Programs","51080500 - Pharmacy Technician/Assistant","19",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","01 - Agriculture, Agriculture Operations, and Related Sciences","01060700 - Turf and Turfgrass Management","12",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","10 - Communications Technologies/Technicians and Support Services","10030400 - Animation, Interactive Technology, Video Graphics and Special Effects","4",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","11 - Computer and Information Sciences and Support Services","11020100 - Computer Programming/Programmer, General","5",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","11 - Computer and Information Sciences and Support Services","11080100 - Web Page, Digital/Multimedia and Information Resources Design","6",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","11 - Computer and Information Sciences and Support Services","11100200 - System, Networking, and LAN/WAN Management/Manager","42",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","11 - Computer and Information Sciences and Support Services","11100300 - Computer and Information Systems Security/Information Assurance","24",
