Degrees and Certificates Awarded by Curriculum Area,
DimYear,InstTypeList,InstList,MajorTypeDesc,LevelGroupDesc,CIPGroupDesc,CIPDesc,Count,
"2014","Lamar State Colleges","Lamar State College-Orange","Tech-Prep","Certificate","51 - Health Professions and Related Programs","51080500 - Pharmacy Technician/Assistant","10",
"2014","Lamar State Colleges","Lamar State College-Orange","Tech-Prep","Certificate","51 - Health Professions and Related Programs","51390100 - Licensed Practical/Vocational Nurse Training","131",
"2014","Lamar State Colleges","Lamar State College-Orange","Tech-Prep","Certificate","52 - Business, Management, Marketing and Related Support Services","52020100 - Business Administration and Management, General","14",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Academic","Associate","13 - Education","13120600 - Teacher Education, Multiple Levels","16",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Academic","Associate","24 - Liberal Arts and Sciences, General Studies and Humanities","24010200 - General Studies","85",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Academic","Associate","31 - Parks, Recreation, Leisure and Fitness Studies","31050500 - Kinesiology and Exercise Science","3",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Academic","Associate","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43010400 - Criminal Justice/Safety Studies","8",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Academic","Associate","50 - Visual and Performing Arts","50050100 - Drama and Dramatics/Theatre Arts, General","2",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Academic","Associate","50 - Visual and Performing Arts","50070200 - Fine/Studio Arts, General","1",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Academic","Associate","52 - Business, Management, Marketing and Related Support Services","52020100 - Business Administration and Management, General","22",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Academic","Core Curriculum Completer","24 - Liberal Arts and Sciences, General Studies and Humanities","24010100 - Liberal Arts and Sciences/Liberal Studies","118",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Associate","11 - Computer and Information Sciences and Support Services","11020100 - Computer Programming/Programmer, General","4",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Associate","11 - Computer and Information Sciences and Support Services","11090100 - Computer Systems Networking and Telecommunications","3",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Associate","12 - Personal and Culinary Services","12041300 - Cosmetology, Barber/Styling, and Nail Instructor","1",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Associate","22 - Legal Professions and Studies","22030200 - Legal Assistant/Paralegal","7",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Associate","50 - Visual and Performing Arts","50090100 - Music, General","5",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Associate","50 - Visual and Performing Arts","50090300 - Music Performance, General","2",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Associate","51 - Health Professions and Related Programs","51090900 - Surgical Technology/Technologist","10",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Associate","51 - Health Professions and Related Programs","51150100 - Substance Abuse/Addiction Counseling","6",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Associate","51 - Health Professions and Related Programs","51380100 - Registered Nursing/Registered Nurse","491",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Certificate","11 - Computer and Information Sciences and Support Services","11020100 - Computer Programming/Programmer, General","3",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Certificate","11 - Computer and Information Sciences and Support Services","11090100 - Computer Systems Networking and Telecommunications","3",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Certificate","12 - Personal and Culinary Services","12040100 - Cosmetology/Cosmetologist, General","31",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Certificate","12 - Personal and Culinary Services","12041300 - Cosmetology, Barber/Styling, and Nail Instructor","2",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15030300 - Electrical, Electronic and Communications Engineering Technology/Technician","13",
